id,question,obfuscatedQuestion,similarity
1,will there be a new season of cutthroat kitchen,will there be a new season of cutthroat kitchen,0.99999994
2,can elves and humans mate lord of the rings,can elves and humans mate lord of the rings,1.0
3,is saline and sodium chloride the same thing,is saline and sodium chloride the same thing,1.0
4,science begins with the premise that knowledge should first be acquired through observation,science begins with the premise that knowledge should second be acquired through observation,0.9235245
5,is the blues brothers based on a true story,is the blues brothers based on a true story,1.0
6,is jack sikma in the hall of fame,is jack sikma in the hall of fame,1.0000001
7,is croatia part of the european economic area,is croatia part of the european economic area,1.0000001
8,is jersey currency legal tender in the uk,is jersey currency legal tender in the uk,1.0000001
9,is confectionary sugar the same as powdered sugar,is confectionary sugar the same as powdered sugar,1.0
10,calcium carbide cac2 is the raw material for the production of acetylene,calcium carbide cassin the the raw material for the production now acetylene,0.9155984
11,do iran and afghanistan speak the same language,do iran including afghanistan speak the same language,0.9812333
12,is elder scrolls online the same as skyrim,is elder scrolls online on same these succeeded,0.8349569
13,the boy in the plastic bubble based on true story,the boy in of plastic bubble based on true story,0.989054
14,is the federal court the same as the supreme court,is the federal court the same as large supreme court,0.92258173
15,is the movie fools gold a true story,is the movie fools gold a true story,1.0
16,will there be a season 4 of da vincis demons,will there be a season 6 of da heralded demons,0.70247656
17,did abraham lincoln write the letter in saving private ryan,did abraham lincoln write the letter in saving private ryan,1.0
18,is there a now you see me 3 coming out,is alive a now you see me 4 coming out,0.68636596
19,do you always have to say check in chess,do you always have to believe check in chess,0.96860623
20,does a penalty shoot out goal count towards the golden boot,if a penalty shoot away goal count towards the golden boot,0.8686299
21,can you drink alcohol in public in denmark,can going drink alcohol in public in denmark,0.9587483
22,has any nfl team played the superbowl at home,has any nfl team played the superbowl at home,0.9999999
23,is a wolverine the same as a badger,is a wolverine the answering as a badger,0.9223541
24,is an australian shepherd the same as an australian cattle dog,is an australian shepherd the same as an australian cattle dog,1.0000001
25,is tim brown in the hall of fame,is tim brown in the hall of fame,0.9999999
26,does the icc has jurisdiction in the united states,does area icc has jurisdiction in the united states,0.98011154
27,is windows movie maker part of windows essentials,is windows comedy maker europe of windows essentials,0.71953636
28,is the fallen movie going to have a sequel,is of fallen movie good to have a sequel,0.8388966
29,is batman and robin a sequel to batman forever,is batman and robin a sequel to batman forever,1.0
30,is kingdom manga based on a true story,is kingdom manga based on a true story,0.9999999
31,will there be a green lantern 2 movie,next there be a green lantern 2 movie,0.9271605
32,can you use oyster card at epsom station,asked you use oyster card at epsom station,0.9640199
33,is post office and royal mail the same,is post office opened royal mail the adding,0.73682255
34,do good samaritan laws protect those who help at an accident,do good samaritan laws protect those who help at an accident,1.0
35,is there a treatment for the bubonic plague,has there a treatment for the bubonic plague,0.9931242
36,was the leaning tower of pisa built leaning,was the leaning tower subject pisa built leaning,0.97600067
37,does the world cup final go to penalties,does the world cup final go to penalties,1.0
38,have the milwaukee bucks ever won a championship,often the milwaukee bucks ever won a championship,0.81462646
39,can u marry a dead person in france,can u marry a dead person in france,1.0
40,is tomato puree and tomato sauce the same thing,is tomato puree paid tomato sauce the same thing,0.9430809
