id,question,obfuscatedQuestion,similarity
1,will there be a new season of cutthroat kitchen,does there be a isis season of cutthroat kitchen,0.8417078
2,can elves and humans mate lord of the rings,enable nadeam named humans mate lord of veste rings,0.63049746
3,is saline and sodium chloride the same thing,is saline including sodium chloride the confirmed thing,0.892602
4,science begins with the premise that knowledge should first be acquired through observation,science begins does the premise that enlightenment did first be acquired through observation,0.867712
5,is the blues brothers based on a true story,is clear blues brothers based on a choice story,0.78268117
6,is jack sikma in the hall of fame,is nihz sikma in the hall own fame,0.862528
7,is croatia part of the european economic area,is croatia part weston the european economic area,0.965078
8,is jersey currency legal tender in the uk,is jersey currency legal ltjg time the uk,0.9236141
9,is confectionary sugar the same as powdered sugar,is confectionary butter the specially as powdered sugar,0.88825834
10,calcium carbide cac2 is the raw material for the production of acetylene,calcium carbide juglar is the raw materials for is production of acetylene,0.95666814
11,do iran and afghanistan speak the same language,do iran and afghanistan speak the plate language,0.87601984
12,is elder scrolls online the same as skyrim,actually elder scrolls online the while as roydon,0.7950577
13,the boy in the plastic bubble based on true story,willisau boy believes indication plastic bubble based on true cyclophoridae,0.7341867
14,is the federal court the same as the supreme court,very the federal court 151 in citing dioscuri supreme court,0.721336
15,is the movie fools gold a true story,is xenophobic filming fools gold previously englander story,0.7112939
16,will there be a season 4 of da vincis demons,will acknowledged be a season 4 of da ferruginea demons,0.7898459
17,did abraham lincoln write the letter in saving private ryan,give abraham lincoln write frauds letter struggle . private ryan,0.7108137
18,is there a now you see me 3 coming out,is there a much you ? me 3. coming small,0.78921497
19,do you always have to say check in chess,do tends have have to say self-reporting in chess,0.80435884
20,does a penalty shoot out goal count towards the golden boot,does a penalty shoot tesana goal count oravec sloughing golden boot,0.8932318
21,can you drink alcohol in public in denmark,can you drink alcohol in criticism in denmark,0.87962687
22,has any nfl team played the superbowl at home,has confirmed nfl team played the superbowl burns home,0.7872414
23,is a wolverine the same as a badger,is a wolverine this same as a badger,0.9932787
24,is an australian shepherd the same as an australian cattle dog,is an australian shepherd the born midorikawa an australian cattle dog,0.91083694
25,is tim brown in the hall of fame,is tim brown in standards hall of fame,0.93515974
26,does the icc has jurisdiction in the united states,does states icc has jurisdiction in between states states,0.8072073
27,is windows movie maker part of windows essentials,decreasing windows movie maker 1977-2006 of windows essentials,0.6451202
28,is the fallen movie going to have a sequel,yangtze cf. fallen movie going to have a sequel,0.91555345
29,is batman and robin a sequel to batman forever,is batman and robin short sequel to batman apriantono,0.875324
30,is kingdom manga based on a true story,is kingdom manga based on a fact story,0.8592892
31,will there be a green lantern 2 movie,will there be aligned green lantern 4 movie,0.86560404
32,can you use oyster card at epsom station,can 'll use oyster card at epsom stations,0.8241592
33,is post office and royal mail the same,is exit office both royal mail __________________________________ 2007,0.38703957
34,do good samaritan laws protect those who help at an accident,do 2-d samaritan laws certain explained who help at an accident,0.73403484
35,is there a treatment for the bubonic plague,is there a treatment for would bubonic alebrije,0.73595136
36,was the leaning tower of pisa built leaning,kma02 northeast leaning tower of pisa built leaning,0.820377
37,does the world cup final go to penalties,`` gurn world cup final go to penalties,0.872289
38,have the milwaukee bucks ever won a championship,have the milwaukee bucks ever won a wheelman,0.9016286
39,can u marry a dead person in france,lfc u palinka a dead person has france,0.8069753
40,is tomato puree and tomato sauce the same thing,is tomato puree and tomato sauce the may wonderful,0.8928667
