id,question,answer,obfuscatedQuestion,mechanism
1,will there be a new season of cutthroat kitchen,False,will tingly nyt attempt celebration area xiv cutthroat icwa,Mechanism
1,will there be a new season of cutthroat kitchen,False,exhibit localised migrated beija new seasons thousand oligopoly laugh,Mechanism
1,will there be a new season of cutthroat kitchen,False,utc signals design egeland newark runnerup lengths silverberg bigeye,Mechanism
1,will there be a new season of cutthroat kitchen,False,samples coaching they deliver her season carolingian iztok crocheting,Mechanism
1,will there be a new season of cutthroat kitchen,False,brown rumblings american a millonarios blocking relativity cutthroat kitchen,Mechanism
2,can elves and humans mate lord of the rings,True,fracture elves viii stolpe coins lord dobrich reconnaissance carbohydrate,Mechanism
2,can elves and humans mate lord of the rings,True,enchaîné massachussetts cargo beings mate stouter attends poona kaukonen,Mechanism
2,can elves and humans mate lord of the rings,True,dkk branden effective space-related beste lord of instrumental unblemished,Mechanism
2,can elves and humans mate lord of the rings,True,macs jinxed pataki humans vladikavkaz eldritch free until disconnected,Mechanism
2,can elves and humans mate lord of the rings,True,some qualities galson humans emba jihai maracay serves rings,Mechanism
3,is saline and sodium chloride the same thing,False,relay blauser u.s sodium sulfuryl gunners tankers intuitively,Mechanism
3,is saline and sodium chloride the same thing,False,genetically saline malvo sodium chloride terminate rhyme contempt,Mechanism
3,is saline and sodium chloride the same thing,False,nursing saline objects noble neals iberian test deadlines,Mechanism
3,is saline and sodium chloride the same thing,False,wild bohn presidential formula_5 ghesquiere criticized first sluman,Mechanism
3,is saline and sodium chloride the same thing,False,biggest .441 learning sodium kelton circle oakridge 've,Mechanism
4,science begins with the premise that knowledge should first be acquired through observation,True,tbs blasts white 34-kilometer temperance ubiquitously skylit delivery studies even mujahedin subpoenas heaven,Mechanism
4,science begins with the premise that knowledge should first be acquired through observation,True,lecture bloodstream chea kedo snookers oxides viajero heart results cleaned mo chess observation,Mechanism
4,science begins with the premise that knowledge should first be acquired through observation,True,marks coffers win vault premise '95 theories undue australia diplomatic invested bahre 2500,Mechanism
4,science begins with the premise that knowledge should first be acquired through observation,True,science dimples tokyo heath mistaken scholarship considering make rokot fireballs select shut observation,Mechanism
4,science begins with the premise that knowledge should first be acquired through observation,True,hagrup assessing machel anjuman webvan delinquency texaco we ballerina check isbn through satellites,Mechanism
5,is the blues brothers based on a true story,False,live boom blues brothers litigation ligament hero unpredictable converting,Mechanism
5,is the blues brothers based on a true story,False,step handover blues pegging based 96-yard drink truth story,Mechanism
5,is the blues brothers based on a true story,False,field gloucester blues jungels wesley trending a classy story,Mechanism
5,is the blues brothers based on a true story,False,patarkatsishvili eigenvector blues cross african siberia actively courageous egidio,Mechanism
5,is the blues brothers based on a true story,False,hemisphere official planets central based on media helps batman,Mechanism
6,is jack sikma in the hall of fame,True,string jack mesquiteers in cleamons jhaw christ ceremonies,Mechanism
6,is jack sikma in the hall of fame,True,is jack mid-2014 board amazonas cheered of donahoe,Mechanism
6,is jack sikma in the hall of fame,True,maximum amos pudzianowski lam gift hall orgeron wye,Mechanism
6,is jack sikma in the hall of fame,True,paperwork jack trixie fundamental single-a beard qi lte,Mechanism
6,is jack sikma in the hall of fame,True,pint heavy antiqua vidyasagar the lowest 32-nation molalla,Mechanism
7,is croatia part of the european economic area,True,birthrate lithuanian help tonnes/ha impetus législatif worker acqusition,Mechanism
7,is croatia part of the european economic area,True,different acquired postal secretion auspicious carboxylic listen areas,Mechanism
7,is croatia part of the european economic area,True,human aspirated subscription deliveries foundation essentially mexican shoreline,Mechanism
7,is croatia part of the european economic area,True,bhilwara harmsen structure angry mutilated european region area,Mechanism
7,is croatia part of the european economic area,True,spheroidal croatia rewrites recorded gardener euro opryland area,Mechanism
8,is jersey currency legal tender in the uk,False,between walraven currency clios gorgeous note used interceptor,Mechanism
8,is jersey currency legal tender in the uk,False,adaptive abbondio lire approach conducted stalin deluge itv2,Mechanism
8,is jersey currency legal tender in the uk,False,long pictou currency licenses tender brunei inch cournot,Mechanism
8,is jersey currency legal tender in the uk,False,it newark mathematics inscriptions checkmark sesto examine ghostbusters,Mechanism
8,is jersey currency legal tender in the uk,False,symbolic jersey currencies legal tender picture future mian,Mechanism
9,is confectionary sugar the same as powdered sugar,True,gambler 14-17 inquiry serb allen doctor powdered lindenstrauss,Mechanism
9,is confectionary sugar the same as powdered sugar,True,watches quarter-century wheat shows costume as powdered sugar,Mechanism
9,is confectionary sugar the same as powdered sugar,True,is ninety-five sugar virus development electricity arugula ethanol,Mechanism
9,is confectionary sugar the same as powdered sugar,True,kalan confectionary sugar infamous sebum hit hellner sugar,Mechanism
9,is confectionary sugar the same as powdered sugar,True,1.25-mile quaternion industrialized designated fluctuations mad powdered v.league,Mechanism
10,calcium carbide cac2 is the raw material for the production of acetylene,True,excretion carbide raspberries ogawa facing rockie primary-school something soldier selector abolition mulch,Mechanism
10,calcium carbide cac2 is the raw material for the production of acetylene,True,calcium appease category familiar uncharted prolonged spray admit various steiner insurgents cornstarch,Mechanism
10,calcium carbide cac2 is the raw material for the production of acetylene,True,varitek carbide anti-labor stirling vlakplaas sortir material substitute msdf refiners dishonor halon,Mechanism
10,calcium carbide cac2 is the raw material for the production of acetylene,True,laverty carbide .115 stands breadth raw debenhams sabbah poised panzer bangladesh acetylene,Mechanism
10,calcium carbide cac2 is the raw material for the production of acetylene,True,calcium rittner canary hormuz new grodsky assuming name chablais throws racial acetylene,Mechanism
11,do iran and afghanistan speak the same language,True,dictionaries iranian arne afghanistan imperial rule do child,Mechanism
11,do iran and afghanistan speak the same language,True,n't ahmadinejad regiment country speak lt. abbey familiarity,Mechanism
11,do iran and afghanistan speak the same language,True,marrying iran applicants paktia crack clara socioeconomic educational,Mechanism
11,do iran and afghanistan speak the same language,True,lose iran drexel afghanistan deorbit imf candidates language,Mechanism
11,do iran and afghanistan speak the same language,True,do iran 9 afghanistan quick kg/m2 attic eidsvoll,Mechanism
12,is elder scrolls online the same as skyrim,False,is wahid up-regulation mez postwar grasslands slowly mingxing,Mechanism
12,is elder scrolls online the same as skyrim,False,renegade autoinfobank scrolls survivors parachute perilune folded tomoka,Mechanism
12,is elder scrolls online the same as skyrim,False,97.3 laserjet scrolls yahoo deep petn tarnovo instyle,Mechanism
12,is elder scrolls online the same as skyrim,False,guarded yuon 75-seat online ni goodwill routines freest,Mechanism
12,is elder scrolls online the same as skyrim,False,black hawkins c-47 stitch rajaratnam shopping wrenching gravesham,Mechanism
13,the boy in the plastic bubble based on true story,True,satisfied hyperbola yarraville through bhrigu campaign based on top-16 cookin,Mechanism
13,the boy in the plastic bubble based on true story,True,promoting episodes agrarian deborah freezer 24-8 banzhaf on lemons rosenbaum,Mechanism
13,the boy in the plastic bubble based on true story,True,accutane warchus joel chickens hammocks shiloh -- reporters true story,Mechanism
13,the boy in the plastic bubble based on true story,True,tunnels suspicious chicken restaurant plastic bubble basis vigo ultimate story,Mechanism
13,the boy in the plastic bubble based on true story,True,bookshop boy jerry name interstitial bubble receives poverty perpetrator beast,Mechanism
14,is the federal court the same as the supreme court,False,tomba powerful federal court bush southern electricity neanderthal adler puzzles,Mechanism
14,is the federal court the same as the supreme court,False,psc nailed cum aslan pointers certificates service a41 inspirational court,Mechanism
14,is the federal court the same as the supreme court,False,holds appropriations water injunction including qcd succeed holder skakel court,Mechanism
14,is the federal court the same as the supreme court,False,is for buried court extraliga 8 commodity hotel postmen court,Mechanism
14,is the federal court the same as the supreme court,False,is blues federal kaili fff shock unranked reached heartened court,Mechanism
15,is the movie fools gold a true story,False,garis the dreamworks fool petrequin a apologizes unfolds,Mechanism
15,is the movie fools gold a true story,False,cathay the jimmy nugroho gold handshake true story,Mechanism
15,is the movie fools gold a true story,False,photography backlash endearment osbourne gold refusing pupae story,Mechanism
15,is the movie fools gold a true story,False,bukowski gathered movie rivulets gold cowboy larkhall 57-yard,Mechanism
