id,question,answer,obfuscatedQuestion,mechanism
1,will there be a new season of cutthroat kitchen,False,do bratina griqualand antawn alogoskoufis kangyo earner equivalents akinnuoye,Mahalanobis
1,will there be a new season of cutthroat kitchen,False,"$ no sam-7 security 1,192 autozone jersey coverage plate",Mahalanobis
1,will there be a new season of cutthroat kitchen,False,gardens foreign yuan to victuallers gernhardt 30303 13-a georgia,Mahalanobis
1,will there be a new season of cutthroat kitchen,False,hombach omarska guianas 185-nation update3 hauraki 56.47 guchang geno,Mahalanobis
1,will there be a new season of cutthroat kitchen,False,il handyphone israel lindsey un vials yili tael laub,Mahalanobis
2,can elves and humans mate lord of the rings,True,every des nonu 4wd ordinariate suezaki kivu trogons nuc,Mahalanobis
2,can elves and humans mate lord of the rings,True,necrosis 1998/2003 - 116.40 dyp york medieval fax iv,Mahalanobis
2,can elves and humans mate lord of the rings,True,demoulas aminoacyl resending inhibitor vike cup non-lgbt osani demourian,Mahalanobis
2,can elves and humans mate lord of the rings,True,buzzcocks buddhas winds ulemek premiership -96 old party icse,Mahalanobis
2,can elves and humans mate lord of the rings,True,were thiprote innings isotopes lampedusa house baluchistan jawaharlal wc2003-aus,Mahalanobis
3,is saline and sodium chloride the same thing,False,cargo josee medalis garamvoelgyi oblast landsbanki toyako uno,Mahalanobis
3,is saline and sodium chloride the same thing,False,darbepoetin saline 6-feet-3 oroz rudeina planter liftoff transparent,Mahalanobis
3,is saline and sodium chloride the same thing,False,nought bangzao palestinian bombs little at traeder vegetative,Mahalanobis
3,is saline and sodium chloride the same thing,False,dpmne she medium-large ರ polyvinyl index sonakul bisht,Mahalanobis
3,is saline and sodium chloride the same thing,False,netwatch 11-count nzse40 barhoum armario votes repressurize fagih,Mahalanobis
4,science begins with the premise that knowledge should first be acquired through observation,True,gidley editor mgwirizano heyzer 109.7 dahaf murong had euro430 senescence console vilayanur nout,Mahalanobis
4,science begins with the premise that knowledge should first be acquired through observation,True,"mohnhaupt asteroid storm-petrels antechinus 17,600 million uzi governor aeronautic non-trivial synthpop chinese emergency",Mahalanobis
4,science begins with the premise that knowledge should first be acquired through observation,True,khsaa horwitz stupples 12-round `` neurons malaysian japanned bongha nebelhorn peiyun helpdesk yuce,Mahalanobis
4,science begins with the premise that knowledge should first be acquired through observation,True,science lavyrle rugumayo subramanyan cpus paniculata lillee often jeret 16-valve apuestas diraja about,Mahalanobis
4,science begins with the premise that knowledge should first be acquired through observation,True,quintaglie oef torchia rafter baiji russia & baywalk inflorescence wga sitgreaves vattenfall phocea,Mahalanobis
5,is the blues brothers based on a true story,False,newswires friedrich baluchistan caucuses forcados jingsheng highway hits 86.60,Mahalanobis
5,is the blues brothers based on a true story,False,34.95 foutch likulia possessive avatars mark city sen. västergötland,Mahalanobis
5,is the blues brothers based on a true story,False,sound yangtze you david benchley h1n1 mihama traditional obering,Mahalanobis
5,is the blues brothers based on a true story,False,""" nineveh pssas picture ternate walesa cotecna ranging juh",Mahalanobis
5,is the blues brothers based on a true story,False,babol 2:59 fomc be intifada gäu st. trovan tehsil,Mahalanobis
6,is jack sikma in the hall of fame,True,dunmow adigun 139.9 a-long castile-la power toxic leader,Mahalanobis
6,is jack sikma in the hall of fame,True,music-related zukunft rih said http://www.supremecourtus.gov glendale wawel coney,Mahalanobis
6,is jack sikma in the hall of fame,True,its dots ascomycota gunness 17-23 eutectic 16-race tverdovsky,Mahalanobis
