id,Question,Answer
1,was abraham lincoln the sixteenth president of the united states,True
2,did lincoln sign the national banking act of 1863,True
3,did his mother die of pneumonia,False
4,did lincoln beat john c breckinridge in the 1860 election,True
5,was abraham lincoln the first president of the united states,False
6,did lincoln start his political career in 1832,True
7,did lincoln ever represent alton  sangamon railroad,True
8,did lincoln win the election of 1860,True
9,is it true that he became a professor in 1820,True
10,was lorenzo romano amedeo carlo avogadro an italian savant,True
11,was amedeo avogadro born in turin august 9th 1776 to a noble ancient family of piedmont italy,True
12,is he most noted for his contributions to the theory of molarity and molecular weight,True
13,was king victor emmanuel iii there to pay homage to avogadro ,True
14,is avogadro s number commonly used to compute the results of chemical reactions ,True
15,did the scientific community not reserve great attention to his theory ,True
16,can the title of this famous 1811 paper be roughly translated into english,True
17,is it true that he published a collection in 1738,False
18,is it true that thermometer had 100 for the freezing point,True
19,was celsius born in uppsala in sweden,True
20,was anders celsius november 27 1701 april 25 1744 a swedish astronomer,True
21,is the celsius crater on the moon named after him,True
22,is the celsius crater on the moon named after him ,True
23,was celsius born in uppsala in sweden ,True
24,are beetles insects,True
25,can beetles be found in polar regions,False
26,do beetles antennae function primarily as organs of smell,True
27,are certain species of beetles considered pests,True
28,is a beetles general anatomy uniform,True
29,are beetles endopterygotes,True
30,is it possible that there are more than 350000 species of beetles,True
31,is the adephaga suborder larger than the polyphaga suborder,False
32,do carrion beetles eat dung,False
33,are many beetles territorial,True
34,are beetles endopterygotes with complete metamorphosis,True
35,is there a thriving industry in the collection of beetle specimens for amateur and professional collectors ,True
36,have coleopterists formed organisations to facilitate the study of beetles ,True
37,is the study of beetles called coleopterology  and its practitioners are coleopterists ,True
38,may a single female lay from several dozen to several thousand eggs during her lifetime ,True
39,can beetles be found in almost all habitats,True
40,was calvin coolidge the twentyninth vice president,False
41,was calvin coolidge born in plymouth windsor county vermont,True
42,did coolidge graduate from black river academy,True
43,was coolidge the thirteenth president of the united states,False
44,was calvin coolidge republican,True
45,was calvin coolidge a governor of massachus08_setts,True
46,is calvin jr older than john coolidge,False
47,did coolidge get in amherst college,True
48,was john calvin coolidge jr was born in las vegas,False
49,was coolidge opposed in the republican nomination for governor of massachus08_setts in 1918,True
50,did coolidge meet and marry grace anna goodhue,True
51,have there been other us presidents that have visited cuba,False
52,did france cede nearly all of its colonies in europe in 1763,True
53,is canada a member of the oecd,True
54,is canadas official language zulu,False
55,is canada bilingual,True
56,did canadian soldiers win the battle of vimy ridge in 1917,True
57,is an official language of canada german,False
58,is it true that it angered many residents of the thirteen colonies,True
59,is it true that provinces have a large degree of autonomy,True
60,are canada s two official languages english and french ,True
61,are canada s official national sports ice hockey  winter  and lacrosse  summer  ,True
62,is canada a geographically vast and ethnically diverse country ,True
63,did mainland nova scotia not come under british rule with the treaty of utrecht      ,False
64,did cartier not use the word  canada  to refer to not only that village  but the entire area subject to donnacona  chief at stadacona ,True
65,did continental european immigrants not s08_settle the prairies ,False
66,is it the world s second largest country by total area,True
67,is a drake a male,True
68,do all ducks quack,False
69,do ducks forage underwater,True
70,is foie gras often made from ducks,True
71,are diving ducks heavier tha dabbling ducks,True
72,are adult ducks fast fliers,True
73,are ducks an accepted presence in some populated areas,True
74,is egypt bordered by the gaza strip,True
75,is egypt the most populated country in africa,False
76,does egypt have political influence in the middle east,True
77,are there a large number of jews living in egypt today,False
78,is egypt in asia,False
79,does egypt receive the least rainfall in the world,True
80,does egypts foreign policy operates along moderate lines,True
81,does snow fall in egypt,True
82,are elephants the largest land animals alive today,True
83,can an elephant kill a rhinoceros,True
84,are elephants good swimmers,True
85,are elephant populations in west africa generally small and fragmented,True
86,is the asian elephant larger than the african,False
87,is an elephants skin tough,True
88,are elephants mammals,True
89,have elephants been used as working animals,True
90,do they prefer forested areas,True
91,is an asian elephant smaller than an african elephant,True
92,has tusklessness become a rare abnormality,False
93,were the treaties signed in 1947 and 1948 with the ukraine,False
94,is finnish a member of the balticfinnic subgroup of the uralic languages,True
95,is the most read newspaper in finland taloussanomat,False
96,today are there more cell phone subscriptions than people in finland,True
97,is matti vanhanen the prime minister of finland,True
98,is the capital city oslo,False
99,does it have a border with norway,True
100,does salmon remain the favorite of fly rod enthusiasts,True
101,are there cathedrals scattered all across finland,True
102,according to readers digest is finland best for living,True
103,does a large proportion of the population speak swedish as its mother tongue,False
104,do women live longer than men,True
105,was ford a member of the house of representatives,True
106,was gerald ford a member of delta kappa epsilon,True
107,did ford get an award called congressmans congressman,True
108,did ford attend the university of michigan,True
109,was ford active about vietnamese affairs,False
110,had fords wife married before,True
111,is ford related with the assassination of john f kennedy,True
112,was gerald ford the 38th president of the united states,True
113,did gerald ford serve as the republican minority leader of the house of representatives,True
114,was ford an eagle scout,True
115,has another us president been an eagle scout,False
116,did ford need to do extra work to pay for college,True
117,have more than five presidents lived past the age of 90,False
118,was ford released from the hospital,True
119,was ford interred at his presidential museum in grand rapids michigan,True
120,is ford one of only four former presidents to live to 90 or more years of age ,True
121,was ford the last surviving member of the warren commission ,True
122,did grand rapids supporters not urge him to take on bartel j jonkman  the incumbent republican congressman ,False
123,does ghana have twice the per capita output of the poorer countries in west africa,True
124,is english ghanas official language,True
125,did the dutch build the elmina castle,False
126,is ghana in asia,False
127,is english the official language,True
128,is ghanas head of state john agyekum kufuor,True
129,does the gray wolf share an ancestry with the domestic dog,True
130,do wolf pups tend to have darker fur than adults,True
131,do wolves leave their pack,True
132,are gray wolves native to north america,True
133,is the gray wolf a mammal,True
134,are a wolfs teeth its main weapons,True
135,are wolves built for stamina,True
136,was grover cleveland born in new york,False
137,did grover cleveland win the 1884 election,True
138,did grover cleveland support womens suffrage,False
139,was grover cleveland the twentyseventh president of the united states,False
140,is grover cleveland honest,True
141,was grover cleveland married in the whitehouse,True
142,when was he elected sheriff of erire county new york,True
143,is it true that he sent in federal troops to chicago,True
144,was cleveland born in caldwell new jersey to the reverend richard cleveland and anne neal,True
145,was grover cleveland elected sheriff of erie county new york,True
146,was cleveland s portrait on the us  1000 bill from 1928 to 1946 ,True
147,is he buried in the princeton cemetery of the nassau presbyterian church ,True
148,did the department of the interior not charge that the rights of way for this land must be returned to the public because the railroads failed to extend their lines according to agreements ,True
149,did the team  sedating cleveland with nitrous oxide lrb laughing gas rrb  not remove his upper left jaw and portions of his hard palate ,True
150,is it true that he married louise désirée lorieux in 1890,True
151,is it true that he shared the nobel prize in physics,True
152,was becquerel elected permanent secretary of the académie des sciences,True
153,was becquerel born in paris into a family which including he and his son jean produced four generations of scientists,True
154,did one places between the phosphorescent substance and the paper a piece of money or a metal screen not pierce with a cutout design ,True
155,is there a becquerel crater on the moon and a becquerel crater on mars,True
156,are the javanese the largest and politically dominant ethnic group in indonesia,True
157,is indonesia a monarchy with a presidential system,False
158,did the japanese invasion and subsequent occupation during wwii end dutch rule,True
159,does indonesia have the worlds hightest level of biodiversity,False
160,was indonesia named after it became an independent country,False
161,is it true that indonesia has vast areas of wilderness,True
162,is indonesia a republic,True
163,are sports in indonesia generally maleorientated,True
164,is indonesia the worlds largest archipelagic state,True
165,are sports in indonesia generally maleorientated and spectator sports are often associated with illegal gambling ,True
166,is pencak silat an indonesian martial art ,True
