id,query,response,epsilon,model,mechanism
0,will there be a new season of cutthroat kitchen,True,50,llama2-70b-4096,Mahalanobis
1,can elves and humans mate lord of the rings,False,50,llama2-70b-4096,Mahalanobis
2,is saline and sodium chloride the same thing,True,50,llama2-70b-4096,Mahalanobis
3,science begins with the premise that knowledge should first be acquired through observation,True,50,llama2-70b-4096,Mahalanobis
4,is the blues brothers based on a true story,False,50,llama2-70b-4096,Mahalanobis
5,is jack sikma in the hall of fame,True,50,llama2-70b-4096,Mahalanobis
6,is croatia part of the european economic area,False,50,llama2-70b-4096,Mahalanobis
7,is jersey currency legal tender in the uk,False,50,llama2-70b-4096,Mahalanobis
8,is confectionary sugar the same as powdered sugar,True,50,llama2-70b-4096,Mahalanobis
9,calcium carbide cac2 is the raw material for the production of acetylene,True,50,llama2-70b-4096,Mahalanobis
10,do iran and afghanistan speak the same language,False,50,llama2-70b-4096,Mahalanobis
11,is elder scrolls online the same as skyrim,False,50,llama2-70b-4096,Mahalanobis
12,the boy in the plastic bubble based on true story,False,50,llama2-70b-4096,Mahalanobis
13,is the federal court the same as the supreme court,False,50,llama2-70b-4096,Mahalanobis
14,is the movie fools gold a true story,False,50,llama2-70b-4096,Mahalanobis
15,will there be a season 4 of da vincis demons,False,50,llama2-70b-4096,Mahalanobis
16,did abraham lincoln write the letter in saving private ryan,False,50,llama2-70b-4096,Mahalanobis
17,is there a now you see me 3 coming out,True,50,llama2-70b-4096,Mahalanobis
18,do you always have to say check in chess,False,50,llama2-70b-4096,Mahalanobis
19,does a penalty shoot out goal count towards the golden boot,False,50,llama2-70b-4096,Mahalanobis
20,can you drink alcohol in public in denmark,True,50,llama2-70b-4096,Mahalanobis
21,has any nfl team played the superbowl at home,False,50,llama2-70b-4096,Mahalanobis
22,is a wolverine the same as a badger,False,50,llama2-70b-4096,Mahalanobis
23,is an australian shepherd the same as an australian cattle dog,False,50,llama2-70b-4096,Mahalanobis
24,is tim brown in the hall of fame,True,50,llama2-70b-4096,Mahalanobis
25,does the icc has jurisdiction in the united states,False,50,llama2-70b-4096,Mahalanobis
26,is windows movie maker part of windows essentials,True,50,llama2-70b-4096,Mahalanobis
27,is the fallen movie going to have a sequel,False,50,llama2-70b-4096,Mahalanobis
28,is batman and robin a sequel to batman forever,False,50,llama2-70b-4096,Mahalanobis
29,is kingdom manga based on a true story,False,50,llama2-70b-4096,Mahalanobis
30,will there be a green lantern 2 movie,False,50,llama2-70b-4096,Mahalanobis
31,can you use oyster card at epsom station,True,50,llama2-70b-4096,Mahalanobis
32,is post office and royal mail the same,True,50,llama2-70b-4096,Mahalanobis
33,do good samaritan laws protect those who help at an accident,True,50,llama2-70b-4096,Mahalanobis
34,is there a treatment for the bubonic plague,True,50,llama2-70b-4096,Mahalanobis
35,was the leaning tower of pisa built leaning,False,50,llama2-70b-4096,Mahalanobis
36,does the world cup final go to penalties,True,50,llama2-70b-4096,Mahalanobis
37,have the milwaukee bucks ever won a championship,True,50,llama2-70b-4096,Mahalanobis
38,can u marry a dead person in france,False,50,llama2-70b-4096,Mahalanobis
39,is tomato puree and tomato sauce the same thing,False,50,llama2-70b-4096,Mahalanobis
