id,question,answer
1,do iran and afghanistan speak the same language,True
2,do good samaritan laws protect those who help at an accident,True
3,is windows movie maker part of windows essentials,True
4,is confectionary sugar the same as powdered sugar,True
5,is elder scrolls online the same as skyrim,False
6,can you use oyster card at epsom station,False
7,will there be a season 4 of da vincis demons,False
8,is the federal court the same as the supreme court,False
9,did abraham lincoln write the letter in saving private ryan,True
10,is batman and robin a sequel to batman forever,True
11,is a wolverine the same as a badger,False
12,will there be a green lantern 2 movie,False
13,does the icc has jurisdiction in the united states,False
14,calcium carbide cac2 is the raw material for the production of acetylene,True
15,is there a now you see me 3 coming out,True
16,does a penalty shoot out goal count towards the golden boot,False
17,will there be a new season of cutthroat kitchen,False
18,is jack sikma in the hall of fame,True
19,can elves and humans mate lord of the rings,True
20,the boy in the plastic bubble based on true story,True
21,science begins with the premise that knowledge should first be acquired through observation,True
22,is tim brown in the hall of fame,True
23,can you drink alcohol in public in denmark,True
24,is jersey currency legal tender in the uk,False
25,have the milwaukee bucks ever won a championship,True
26,does the world cup final go to penalties,True
27,is kingdom manga based on a true story,True
28,is croatia part of the european economic area,True
29,can u marry a dead person in france,True
30,is saline and sodium chloride the same thing,False
31,is there a treatment for the bubonic plague,True
32,does buffys mom know shes a slayer,True
33,was the leaning tower of pisa built leaning,False
34,is the movie fools gold a true story,False
35,has any nfl team played the superbowl at home,False
36,does each australian state have its own constitution,True
37,can you have a right and left bundle branch block,True
38,do you always have to say check in chess,False
39,is an australian shepherd the same as an australian cattle dog,False
40,is tomato puree and tomato sauce the same thing,False
41,is the blues brothers based on a true story,False
42,is newcastle upon tyne the same as newcastle,True
43,is post office and royal mail the same,False
44,has any supreme court nominee not been confirmed,True
45,is thanksgiving always the last thursday of the month,True
46,is lord of the rings after the hobbit,True
47,is the fallen movie going to have a sequel,False
48,does anyone on instagram have 1 billion followers,False
49,in the phantom menace is padme the queen,True
50,is lord of the rings considered an epic,True
51,does the euro sign go before the number,True
52,can stainless steel be used on induction cooktop,True
53,is job termination the same as being fired,True
54,does age have any influence on attentional ability or inattentional blindness,True
55,is sanskrit the first language of the world,False
56,is a jack russell considered a small breed,True
57,does air force one travel with fighter escort,False
58,is it legal to own an ar15 in california,False
59,is the national anthem and star spangled banner the same,True
60,is there an international airport in naples italy,True
61,can you buy cadburys creme eggs all year round,False
62,do homologous chromosomes carry information for the same traits,True
63,has michigan ever won a national championship in football,True
64,you can tell a lot about a person by how they treat their waiter,True
65,are there any crocodiles native to north america,True
66,does lex luthor know who superman is in smallville,True
67,do you have to have a college degree to take the bar exam,True
68,will there be a season 2 of marvels iron fist,True
69,is 844 a toll free number in canada,True
70,does any other country have daylight savings time,True
71,has anyone ever pitched back to back no hitters,True
72,is there a black bike week in myrtle beach,True
73,are static shock and black lightning the same person,False
74,is there such a thing as unbreakable glass,True
75,can liquid latex be used as an adhesive,True
76,is it illegal to carry a pistol in your car in texas,False
77,is it legal to carry a sgian dubh,True
78,several cranial nerves innervate structures of the tongue,False
79,is porto rico a part of the united states,True
80,is there sales tax in the state of washington,True
81,has anyone scored 6 goals in one game,True
82,can puppies see right when their eyes open,True
83,is the sears tower the same as the hancock building,False
84,is tokyo ghoul re related to tokyo ghoul,True
85,do texas state troopers have to wear hats,True
86,is vaping illegal if you are under 18,True
87,is wheat flour and white flour the same thing,False
88,do they find the body in stand by me,True
89,did the english win the hundred years war,False
90,is ferguson jenkins in the hall of fame,True
91,are family dollar and dollar general the same company,False
92,is station 19 a greys anatomy spin off,True
93,are tomatoes a member of the nightshade family,True
94,is dollar tree the same as dollar general,False
95,does the cat in the hat have a name,False
96,the movie rudy based on a true story,True
97,is the movie the wall a true story,False
98,is it legal to carry a gun in nyc,True
99,the former soviet union broke into separate states,True
100,does hot and sour soup have a lot of sodium,True
101,would a person sink in a corn silo,True
102,paths from the cerebral cortex to the spinal cord are called the corticospinal tracts,True
103,do you have to bounce the ball in afl,True
104,is a denatured protein still able to function,False
105,is the movie the mountain between us based on a real story,False
106,do you have to pay taxes in the united states,True
107,are the marines part of the us navy,True
108,does liquid coffee mate have to be refrigerated,True
109,will there be a uk general election in 2018,False
110,can i use dexron iii for dexron ii,True
111,can i own a handgun in the uk,False
112,can you have two jobs in south africa,True
113,are long term capital gains taxed at a lower rate,True
114,does oregon have the stand your ground law,False
115,are pumas cougars and mountain lions the same animal,True
116,is popeye the sailor man a disney character,False
117,has tom hanks ever won an academy award,True
118,is jim hart in the hall of fame,True
119,do you need a gun license to buy a gun in nj,True
120,is it legal to drink in public in london,True
121,do you have to register to vote in america,True
122,are chess pie and buttermilk pie the same,False
123,true or false anaphylaxis generally only affects the skin and eyes,False
124,do you need to fast for random glucose test,False
125,is there going to be a season 4 of the border,False
126,does the nissan rogue have all wheel drive,False
127,is fear the walking dead set before the walking dead,True
128,do new zealand and australia have the same flag,False
129,did austria qualify for the world cup 2018,True
130,is carrie underwood in the movie soul surfer,True
131,is there a difference between saline and lactated ringers,True
132,is one flew over the cuckoos nest a true story,False
133,do you put water in a fog machine,True
134,when sandy hit nj was it a hurricane,False
135,is there an age limit to run for congress,True
136,during his lifetime an athenian citizen could serve on the council of five hundred,True
137,was call me by your name a book,True
138,has england won any world cup in cricket,False
139,is watcher in the woods a disney movie,True
140,do supreme court judges get secret service protection,False
141,was the movie dunkirk based on a book,False
142,does a jury have to be unanimous uk,False
143,is national guard boot camp the same as army,True
144,do dogwood trees grow in the middle east,False
145,is there such a thing as a coywolf,True
146,are doc martens still made in the uk,True
147,would hydrogen chloride be a gas at room temperature,True
148,is it possible to build an alcohol tolerance,True
149,do blue jays take over other birds nests,True
150,is the olympic torch always lit in greece,True
151,is canada in the 2018 soccer world cup,False
152,can cradle cap make baby hair fall out,True
153,is king louie in the jungle book book,False
154,does drake in my feelings have a video,True
155,can goalie pick up ball from throw in,False
156,is the cecil hotel still open in los angeles,True
157,is a birth certificate a valid form of id,False
158,is there a town named keister in the united states,True
159,do the individual parallel lines in a parallel circuit have different currents flowing through them,False
160,is the orientation of a protein sequence important for the protein function,True
161,is dc legends of tomorrow based on a comic,False
162,is bok choy the same as pak choi,True
163,do guinea pigs come from papua new guinea,False
164,is trelane a member of the q continuum,True
165,did thomas jefferson wrote the declaration of independence when he was president,False
166,was season 8 of vampire diaries the last,True
167,is antioch ca part of the bay area,True
168,is st patricks day always on march 17,True
169,is there a national bring your dog to work day,True
170,does the iphone 8 plus have touch id,True
171,is there a fourth book of magnus chase,False
172,can you buy beer on sunday in new york,True
173,is there going to be a my little pony season 8,True
174,does a goal from a throw in count,False
175,the visual cliff is a device for studying,True
176,is it possible to download all of wikipedia,True
177,the long road home is it a series,True
178,do you need to put return address on mail,False
179,is guillain barre syndrome a lower motor neuron disease,True
180,is there a second season of iron fist,True
181,is himalaya the highest mountain in the world,False
182,is a 1888 number toll free,True
183,is the graviton part of the standard model,False
184,is st davids day a bank holiday in wales,False
185,are the normal force and force of gravity always equal,False
186,does the mail run on memorial day weekend,False
187,is season 7 of ahs the last season,False
188,can you get drafted out of high school into the nba,False
189,did dan stevens do the singing in beauty and the beast,True
190,does penalty shoot out goals count for golden boot,False
191,is haroun and the sea of stories a childrens book,True
192,can you play original xbox games on a 360,True
193,does the honda insight need to be plugged in,False
194,is big little lies just a mini series,False
195,is taylor still on the bold and beautiful,True
196,can you have a skunk as a pet in canada,True
197,can you marry your sister in the uk,False
198,is there going to be a season 2 of jamestown,True
199,does the united kingdom have an official language,False
200,did the dad die in the good dinosaur,True
201,is blue cross the same as blue shield,True
202,is mall of asia the biggest mall in asia,False
203,is 44 rem mag the same as 44 mag,True
204,can a person die from too much water,True
205,does canadas worst driver lose their license,False
206,will there be a 13th season of criminal minds,True
207,are family dollar and dollar general owned by the same company,True
208,can you drink in the street in glasgow,False
209,is cheaper by the dozen a true story,True
210,is there such thing as a 100 pound note,True
211,can you inhale alcohol vapors and get drunk,True
212,is daylight savings time all over the world,False
213,is polygamy legal in any state in the united states,False
214,can u really hear the ocean in a shell,False
215,is sweet italian sausage the same as mild,False
216,will there be a season 3 of too close to home,False
217,is the medal of honor the highest honor,True
218,can i be sacked for falling asleep at work,True
219,can you buy a car in wisconsin on sunday,False
220,is electrode potential the same as reduction potential,True
221,did north korea compete in the 2018 olympics,True
222,was mercury used as a cure for syphilis,True
223,can a member of congress be removed from office,True
224,is london the capital of the united kingdom,True
225,did they actually go to hawaii in everything everything,True
226,can u die for drinking too much water,True
227,can you still win both showcases on price is right,True
228,is a circle the same as a sphere,False
229,is sperm concentration the same as sperm count,True
230,did ward and june cleaver sleep in the same bed,False
231,is canada the only country with maple trees,False
232,were the bodies of operation red wings recovered,True
233,is it normal for guys to dribble after peeing,True
234,can you have more than one wife in the usa,False
235,has there ever been a female thunderbird pilot,True
236,is a bba the same as a bs,False
237,do you need intent to commit a crime,True
238,is the top thrill dragster the tallest roller coaster,False
239,is the red cross part of the un,False
240,did wales ever qualify for the world cup,True
241,is beauty and the beast still on broadway,False
242,does marvel own the rights to fantastic four,True
243,will there be a second series of the coroner,False
244,is it legal to turn right on red in california,True
245,does bree van de kamp go to jail,False
246,do penalties after extra time count towards golden boot,False
247,is there really such a thing as a broken heart,True
248,if a table contains a primary key there can be no duplicate records in a table,False
249,have the arkansas razorbacks ever won a national championship in football,True
250,do litigants on peoples court get paid,True
251,is zip code the same as post code,True
252,did we leave the lunar rover on the moon,True
253,is it legal to drink beer while driving in texas,False
254,does blow drying your hair kill lice eggs,True
255,was the movie the guardian based on a true story,False
256,did lebanon ever qualify for the world cup,False
257,is monaco a country in its own right,True
258,is the movie the mission based on a true story,True
259,do you have to win a tennis set by 2,True
260,did china ever qualify for fifa world cup,True
261,are england in the world cup semi finals,True
262,are green beans the same as french beans,True
263,does all of japan have the same time zone,True
264,is spiderman homecoming a sequel to the amazing spider man,False
265,does the entire blastocyst develop into a fetus,False
266,can someone be both left and right handed,True
267,is there a season 4 of phryne fisher,False
268,can you go out with a wild card in uno,True
269,can a us citizen hold a foreign title,True
270,can a social security number have 8 digits,False
271,has anyone won all four grand slam in one year,True
272,can you download itv hub on xbox 360,True
273,does a trapezoid have one set of parallel lines,True
274,does prime minister have to be an mp,False
275,can i use my veteran id to get on base,False
276,is it illegal to be in possession of alcohol under 21,True
277,is the 2017 chevy cruze front wheel drive,True
278,can there be a beach on a lake,True
279,does puerto rico have to follow us laws,True
280,does every us citizen have a social security number,False
281,can anything be faster than the speed of light,False
282,is there going to be a mr robot season 4,True
283,is it possible for an element to have different types of atoms,True
284,is a cougar and a mountain lion the same thing,True
285,does jimmy o die in sons of anarchy,True
286,is triamcinolone acetonide cream used to treat poison ivy,True
287,will an xbox 360 game work on an xbox one,True
288,is there such thing as a jack rabbit,True
289,are they coming out with a new tinkerbell movie,False
290,are cash money and money mart the same company,False
291,is it ok to eat cooking apples raw,True
292,does the texas flag fly at the same height as the american flag,False
293,is it ordinary time in the catholic church,True
294,does borderlands 2 handsome collection have all dlc,True
295,is there going to be a season 3 of project runway junior,True
296,is transit aba number the same as routing number,True
297,is hashtag the same as the number sign,True
298,does the f train stop at queens plaza,False
299,is there a difference between slugs and snails,True
300,was the french quarter affected by hurricane katrina,False
301,can one point be in two different planes,True
302,do professional soccer players play in the olympics,True
303,is the avengers and avengers assemble the same film,True
304,is there going to be a season 8 of rules of engagement,False
305,are liquor stores open on sunday in wv,True
306,is there still a royal family in spain,True
307,is the limbic system the oldest part of the brain,True
308,are target and macys owned by the same company,False
309,did bonnie blairs daughter make the olympic team,False
310,is the baby in fuller house a twin,True
311,was tom holland in amazing spider man 2,False
312,is stella the mother on how i met your mother,False
313,can an aftershock be stronger than an earthquake,False
314,are there any wild ravens in the uk,True
315,is a hyundai genesis coupe a sports car,True
316,does a death certificate have to show cause of death,False
317,is it legal to carry a gun in new hampshire,True
318,can you have identical twins that are different genders,False
319,is there a season 5 for the flash,True
320,is the girl in the spiders web a sequel to the girl with the dragon tattoo,True
321,was the movie 300 based on real events,True
322,is great britain part of the european union,True
323,can you send an envelope without a return address,True
324,is there going to be a season 5 of bates motel,True
325,is canada in the united states of america,False
326,the main component of stomach acid is sulfuric acid,True
327,can anyone have an out of body experience,True
328,is it illegal to hack into someones phone,True
329,does batman and harley quinn take place in the dcau,True
330,can a 3 way bulb work in any lamp,True
331,are hastings direct and hastings premier the same company,True
332,is the lexus es 350 front wheel drive,True
333,is there an airport on marthas vineyard,True
334,were there helicopters in the second world war,True
335,does the us play in the world cup this year,False
336,is a money order the same as a postal order,False
337,does kaori die in your lie in april manga,True
338,does a macbook air have an ethernet port,False
339,is cornwall in the south west of england,True
340,can a man have more than one wife in utah,False
341,did the lead singer of the who have a stutter,False
342,does an ace beat a queen in war,True
343,does the switch come with 1 2 switch,False
344,does the mom die in the impossible movie,False
345,can you get aero bars in the us,True
346,do citizens in puerto rico pay us taxes,True
347,are green beans the same as string beans,True
348,of all the points on the production possibilities curve only one point represents an efficient point,False
349,was the battle of gettysburg the bloodiest battle of the civil war,True
350,do cows have to stay pregnant to produce milk,False
351,is methodist the same as church of england,False
352,do you get paid for being on survivor,True
353,will there be a second season of fairy tail,True
354,were all the bodies recovered from operation red wings,True
355,is aint a word in the webster dictionary,True
356,are collard greens the same as turnip greens,False
357,does dean come back to life in supernatural,True
358,is there a new robin hood movie coming out,True
359,did rocky beat apollo creed in rocky 1,False
360,is rough er part of the endomembrane system,True
361,is the uk part of the schengen zone,False
362,are there any mgm casinos in atlantic city,False
